Designator,Val,Package,Mid X,Mid  Y,Rotation,Layer
C1,100n,C_0603_1608Metric,22.225,-55.6,180,top
C2,10u,C_0805_2012Metric,33.6,-59.7,0,top
C3,100n,C_0603_1608Metric,33.475,-57.9,180,top
C4,10u,C_0805_2012Metric,36.45,-58.85,-90,top
C5,100n,C_0603_1608Metric,38.4,-58.825,90,top
C6,1u,C_0805_2012Metric,37.65,-41.2,0,top
C7,100n,C_0603_1608Metric,34.6,-28.575,90,top
C8,100n,C_0603_1608Metric,34.9,-32.375,-90,top
C9,100n,C_0603_1608Metric,25.3,-33.475,90,top
C10,1u,C_0805_2012Metric,37.45,-32.6,0,top
C11,10u,C_0805_2012Metric,37.45,-34.8,0,top
C12,100n,C_0603_1608Metric,34.7,-35.875,90,top
C13,100n,C_0603_1608Metric,21.2,-41.325,-90,top
C14,100n,C_0603_1608Metric,25.3,-36.575,-90,top
C15,100n,C_0603_1608Metric,34.9,-39.025,-90,top
C16,100n,C_0603_1608Metric,35.275,-50.9,180,top
C17,100n,C_0603_1608Metric,21.1,-47.475,-90,top
D1,GRN,LED_0805_2012Metric,28.4,-53.3,90,top
D2,GRN,LED_0805_2012Metric,25.6,-53.2625,90,top
J2,USB_C,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,30,-66.305,0,top
R1,1M,R_0805_2012Metric,36.4,-66,-90,top
R4,10k,R_0603_1608Metric,21.775,-38.8,0,top
R5,5k1,R_0603_1608Metric,23.2,-63.6,180,top
R6,5k1,R_0603_1608Metric,36.4,-62.375,90,top
R7,100,R_0603_1608Metric,37,-27.8,0,top
R8,100,R_0603_1608Metric,37,-29.6,0,top
R10,10k,R_0603_1608Metric,22.575,-27,0,top
R11,10k,R_0603_1608Metric,22.575,-29.2,0,top
R12,10k,R_0603_1608Metric,22.575,-31,0,top
R13,510,R_0603_1608Metric,27.2,-58.625,-90,top
R14,510,R_0603_1608Metric,25.5,-58.675,-90,top
SW1,RESET,push_button,22.9,-59.62,90,top
SW2,BOOT0,push_button,22.7,-34.92,90,top
U1,USBLC6-2SC6,SOT-23-6,29.85,-58.7375,90,top
U2,APX803L20-29SA-7,SOT-23,22.2,-52.8,90,top
U3,STM32F072RBTx,LQFP-64_10x10mm_P0.5mm,28.8,-44.8,-90,top
U4,AP2205-3.3,SOT-89-3,34.1,-53.9,90,top
U5,RS3236-3.3,SOT-23-5,37.6,-38,90,top
U6,HX717,SOP-16_3.9x9.9mm_P1.27mm,29.9,-32.155,180,top
